date,india_portfolio,india_benchmark,international_portfolio,international_benchmark
2020-11-22,100.00,100.00,100.00,100.00
2020-11-23,99.92,100.35,99.73,100.18
2020-11-24,99.87,100.78,100.56,101.04
2020-11-25,99.86,100.13,100.41,101.02
2020-11-26,99.92,100.69,100.41,101.02
2020-11-27,100.17,100.78,100.98,101.42
2020-11-30,100.17,100.78,99.82,100.67
2020-12-01,100.19,101.63,101.02,101.40
2020-12-02,100.37,102.02,101.06,101.54
2020-12-03,100.50,102.49,101.06,101.70
2020-12-04,100.53,103.21,102.34,102.21
2020-12-07,100.65,103.76,102.12,101.95
2020-12-08,100.63,103.79,102.57,102.29
2020-12-09,100.42,104.10,101.82,101.83
2020-12-10,100.46,103.77,102.42,102.05
2020-12-11,100.48,104.06,102.12,101.97
2020-12-14,100.47,104.40,102.14,101.81
2020-12-15,100.51,104.45,102.78,102.64
2020-12-16,100.55,104.80,103.06,102.60
2020-12-17,100.44,104.70,103.74,103.19
2020-12-18,100.42,104.82,103.41,102.92
2020-12-21,100.00,102.91,102.92,102.29
2020-12-22,100.33,103.50,102.78,102.13
2020-12-23,100.78,104.25,103.33,102.52
2020-12-24,100.75,104.70,103.37,102.87
2020-12-28,100.85,105.19,103.81,103.20
2020-12-29,100.80,105.25,104.29,103.40
2020-12-30,100.79,105.34,104.86,103.62
2020-12-31,100.86,105.44,104.87,103.54
2021-01-01,100.94,105.73,104.87,103.54
2021-01-04,101.44,106.55,104.73,103.28
2021-01-05,101.74,106.83,106.21,103.80
2021-01-06,101.71,106.94,106.09,104.16
2021-01-07,102.08,107.10,107.05,104.67
2021-01-08,102.37,107.72,108.29,105.25
2021-01-11,102.60,107.91,107.17,104.69
2021-01-12,102.63,108.30,107.96,104.89
2021-01-13,102.52,108.54,108.18,104.99
2021-01-14,102.72,108.48,108.70,105.17
2021-01-15,102.31,108.05,107.52,104.47
2021-01-18,101.74,107.13,107.52,104.47
2021-01-19,101.93,107.85,108.68,105.09
2021-01-20,102.13,108.16,109.94,105.82
2021-01-21,102.41,107.70,109.92,105.55
